Age at admission,Gender,Country,Scholarship,SAT,Performance,Governorates,School,hours_diff
21,0,0,1,930.0,0.0,2,-1,0
20,1,1,1,1130.0,0.0,-1,-1,3
20,0,0,1,1010.0,0.0,2,-1,0
19,1,0,1,920.0,1.0,4,-1,6
19,1,1,1,1190.0,1.0,-1,-1,0
19,0,0,1,1150.0,1.0,4,-1,3
19,1,0,0,970.0,1.0,4,-1,3
19,1,0,1,1120.0,0.0,4,-1,0
19,1,0,0,1000.0,1.0,4,3,3
19,0,0,1,970.0,0.0,2,-1,3
18,1,1,1,1150.0,1.0,-1,-1,0
19,0,0,1,1130.0,1.0,2,-1,0
18,1,0,1,1320.0,1.0,4,-1,0
18,0,1,1,1200.0,1.0,-1,-1,0
18,1,1,1,1090.0,1.0,-1,-1,0
21,1,1,1,1100.0,1.0,-1,-1,0
19,1,0,1,1240.0,1.0,4,-1,0
19,0,1,1,1080.0,1.0,-1,-1,3
19,1,1,1,1270.0,1.0,-1,-1,3
18,1,0,1,1180.0,1.0,2,-1,0
18,0,0,1,1190.0,0.0,4,-1,6
18,0,0,1,1270.0,0.0,2,2,3
18,0,0,1,1250.0,1.0,2,-1,0
18,1,0,1,1100.0,0.0,4,-1,0
18,0,0,1,1300.0,1.0,4,-1,0
18,0,0,1,1190.0,1.0,4,-1,0
18,0,0,1,1170.0,1.0,2,4,6
18,1,0,1,1330.0,1.0,4,4,0
18,1,0,1,1220.0,1.0,2,4,0
19,1,0,1,1170.0,1.0,4,1,0
18,0,0,1,1390.0,1.0,2,4,0
18,1,0,1,1180.0,1.0,2,1,7
18,1,0,1,1220.0,1.0,2,0,0
18,1,0,1,1150.0,1.0,2,1,0
18,1,0,1,1150.0,1.0,2,2,0
18,1,0,1,1200.0,1.0,4,-1,0
18,0,0,1,1330.0,1.0,4,2,0
18,1,0,1,1200.0,1.0,4,-1,0
18,1,0,1,1160.0,1.0,4,-1,0
18,1,0,1,1240.0,1.0,4,2,0
18,1,1,1,1060.0,1.0,-1,-1,0
17,1,0,1,1050.0,1.0,2,-1,0
18,1,0,1,1050.0,1.0,2,-1,0
18,1,0,1,1030.0,1.0,4,-1,0
18,1,1,1,1120.0,1.0,-1,-1,0
18,0,0,1,1250.0,1.0,2,-1,0
